"sg_uf","age_clas","N.srag","N.covid"
"SP","85-89",13934,8903
"SP","90+",9866,5764
"TO","0-4",834,64
"TO","10-14",178,17
"TO","15-19",87,38
"TO","20-24",161,78
"TO","25-29",268,169
"TO","30-34",413,259
"TO","35-39",563,366
"TO","40-44",658,432
"TO","45-49",691,474
"TO","5-9",439,29
"TO","50-54",788,535
"TO","55-59",797,569
"TO","60-64",679,477
"TO","65-69",698,500
"TO","70-74",648,460
"TO","75-79",545,384
"TO","80-84",434,322
"TO","85-89",289,185
"TO","90+",224,163
