"sg_uf","age_clas","N.srag.cases","N.covid.cases","N.srag.deaths","N.covid.deaths"
"RR","60-64",277,253,125,117
"RR","65-69",256,222,139,126
"RR","70-74",227,198,138,116
"RR","75-79",143,116,77,62
"RR","80-84",98,73,68,55
"RR","85-89",63,49,40,31
"RR","90+",48,35,34,25
"RS","0-4",2781,256,31,11
"RS","10-14",404,96,13,6
"RS","15-19",505,300,42,31
"RS","20-24",1230,939,122,104
"RS","25-29",2357,2024,253,226
"RS","30-34",3711,3327,475,421
"RS","35-39",5420,4930,750,688
"RS","40-44",6689,6111,1109,1013
"RS","45-49",7345,6772,1517,1407
"RS","5-9",1139,124,13,4
"RS","50-54",8689,7841,2007,1849
"RS","55-59",9856,8794,2740,2512
"RS","60-64",9184,7831,3119,2805
"RS","65-69",8999,7531,3586,3214
"RS","70-74",8386,6714,3599,3176
"RS","75-79",6517,5063,3036,2632
"RS","80-84",5028,3662,2517,2108
"RS","85-89",3464,2420,1861,1515
"RS","90+",2274,1515,1390,1097
"SC","0-4",2390,215,30,17
"SC","10-14",461,96,13,7
"SC","15-19",357,226,24,21
"SC","20-24",892,668,70,64
"SC","25-29",1774,1509,139,134
"SC","30-34",2763,2500,261,253
"SC","35-39",3942,3621,397,388
"SC","40-44",4928,4521,659,637
"SC","45-49",5303,4861,852,830
"SC","5-9",926,111,11,7
"SC","50-54",5773,5242,1135,1094
"SC","55-59",6393,5726,1546,1466
"SC","60-64",5751,5013,1631,1563
"SC","65-69",5244,4449,1750,1650
"SC","70-74",4593,3837,1765,1672
"SC","75-79",3599,2896,1511,1418
"SC","80-84",2508,1910,1137,1045
"SC","85-89",1570,1151,746,682
"SC","90+",941,644,500,449
"SE","0-4",1011,241,21,16
"SE","10-14",154,49,7,6
"SE","15-19",153,71,14,11
"SE","20-24",239,120,19,11
"SE","25-29",366,237,33,30
"SE","30-34",676,480,84,79
"SE","35-39",897,665,116,110
"SE","40-44",1105,831,186,169
"SE","45-49",1197,885,223,210
"SE","5-9",434,98,15,9
"SE","50-54",1316,1004,307,288
"SE","55-59",1412,1088,359,338
"SE","60-64",1278,927,382,354
"SE","65-69",1165,840,434,397
"SE","70-74",1054,730,369,343
"SE","75-79",864,545,354,302
"SE","80-84",705,423,303,272
"SE","85-89",453,266,201,173
"SE","90+",331,194,171,144
"SP","0-4",20405,1725,202,55
"SP","10-14",3728,712,66,29
"SP","15-19",2505,1176,157,104
"SP","20-24",5874,3788,484,410
"SP","25-29",11087,8525,1154,1044
"SP","30-34",18723,15364,2143,1987
"SP","35-39",27588,23338,3829,3561
"SP","40-44",33282,28513,5244,4918
"SP","45-49",35734,30546,7010,6492
"SP","5-9",8893,862,86,43
"SP","50-54",39595,33498,8756,8145
"SP","55-59",44740,37544,12050,11181
"SP","60-64",40168,32299,12750,11651
"SP","65-69",36852,28739,13329,12110
"SP","70-74",32158,24152,12494,11082
"SP","75-79",25510,18248,10413,9076
"SP","80-84",19763,13052,8565,7142
"SP","85-89",13934,8903,6381,5181
"SP","90+",9866,5764,4735,3673
"TO","0-4",834,64,12,4
"TO","10-14",178,17,2,1
"TO","15-19",87,38,8,6
"TO","20-24",161,78,16,14
"TO","25-29",268,169,26,20
"TO","30-34",413,259,67,61
"TO","35-39",563,366,84,80
"TO","40-44",658,432,134,121
"TO","45-49",691,474,148,141
"TO","5-9",439,29,4,1
"TO","50-54",788,535,166,157
"TO","55-59",797,569,246,235
"TO","60-64",679,477,242,228
"TO","65-69",698,500,297,280
"TO","70-74",648,460,279,261
"TO","75-79",545,384,250,242
"TO","80-84",434,322,236,220
"TO","85-89",289,185,141,126
"TO","90+",224,163,141,128
